kategori,rincian_masalah,status,tanggal_masuk,tanggal_selesai,id_laporan,skpd,response_time
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-22,2020-12-22,JK2012220048,KELURAHAN PETOJO SELATAN,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-12-22,2020-12-22,QL001404114,KELURAHAN DURI PULO,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-22,2020-12-22,QL001404086,KELURAHAN KEBON KOSONG,0
PERIZINAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-22,2020-12-22,QL001276093,KELURAHAN RAWASARI,0
JALAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,JK2012210230,KELURAHAN CIDENG,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,JK2012210182,KELURAHAN TANAH TINGGI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,JK2012210180,KELURAHAN TANAH TINGGI,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,QL001404049,KELURAHAN GAMBIR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,QL001404042,KELURAHAN GAMBIR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,QL001404005,KELURAHAN CEMPAKA PUTIH TIMUR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,QL001403996,KELURAHAN CIDENG,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-21,2020-12-21,JK2012200122,KELURAHAN CEMPAKA PUTIH BARAT,0
FASILITAS SOSIAL/FASILITAS UMUM (FASOS/FASUM),TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-21,JK2012200153,KELURAHAN KRAMAT,1
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,JK2012200148,KELURAHAN KEBON MELATI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,JK2012200129,KELURAHAN JOHAR BARU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,JK2012200127,KELURAHAN JOHAR BARU,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,QL001403970,KELURAHAN HARAPAN MULYA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,JK2012200072,KELURAHAN KARTINI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,QL001403917,KELURAHAN GUNUNG SAHARI UTARA,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,JK2012190037,KELURAHAN PETOJO SELATAN,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001395999,KELURAHAN PASAR BARU,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001395997,KELURAHAN PASAR BARU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001396000,KELURAHAN PASAR BARU,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001396020,KELURAHAN KAMPUNG BALI,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001396005,KELURAHAN GAMBIR,0
