kategori,rincian_masalah,status,tanggal_masuk,tanggal_selesai,id_laporan,skpd,response_time
SALURAN AIR,-,COMPLETE,2019-01-01,2019-01-01,QL001339832,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-10,JK2001010019,KELURAHAN KAPUK,9
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-10,JK2001010017,KELURAHAN KAPUK,9
SAMPAH,-,COMPLETE,2019-01-01,2019-01-01,QL001339801,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-01,2019-01-01,QL001339800,KELURAHAN PEGADUNGAN,0
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-02,2019-01-03,TW000028049,WALIKOTA JAKARTA BARAT,1
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-02,2019-01-03,TW000028043,WALIKOTA JAKARTA BARAT,1
BANJIR,PENANGANAN KORBAN,COMPLETE,2019-01-02,2019-01-03,FB000028028,KELURAHAN KEDOYA SELATAN,1
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340350,KELURAHAN PEGADUNGAN,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340349,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340348,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340347,KELURAHAN CENGKARENG BARAT,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-02,2019-01-02,QL001340346,KELURAHAN TEGAL ALUR,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-02,2019-01-03,FB000028009,KELURAHAN KEDOYA UTARA,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340305,KELURAHAN KELAPA DUA,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-02,2019-01-02,QL001340304,KELURAHAN JELAMBAR BARU,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340302,KELURAHAN DURI UTARA,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340258,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340257,KELURAHAN KEMANGGISAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340223,KELURAHAN MANGGA BESAR,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,JK2001020037,KELURAHAN PAL MERAH,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,JK2001020035,KELURAHAN PAL MERAH,0
POHON,POHON TUMBANG,COMPLETE,2019-01-02,2019-01-02,QL001340215,KELURAHAN KALI DERES,0
BANJIR,-,COMPLETE,2019-01-02,2019-01-02,QL001340179,KELURAHAN JOGLO,0
BANJIR,-,COMPLETE,2019-01-02,2019-01-02,QL001340178,KELURAHAN JOGLO,0
BANJIR,-,COMPLETE,2019-01-02,2019-01-02,QL001340177,KELURAHAN JOGLO,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-03,2019-01-04,QL001339625,KELURAHAN GROGOL,1
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-03,2019-01-04,SM000028234,WALIKOTA JAKARTA BARAT,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-04,QL001340405,KELURAHAN DURI SELATAN,1
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-03,2019-01-04,FB000028224,WALIKOTA JAKARTA BARAT,1
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-04,QL4994318176675173586,KELURAHAN DURI KOSAMBI,1
BANJIR,PENANGANAN KORBAN,COMPLETE,2019-01-03,2019-01-05,FB000028222,KELURAHAN RAWA BUAYA,2
SAMPAH,SAMPAH SUNGAI,COMPLETE,2019-01-03,2019-01-03,FB000027548,KELURAHAN TEGAL ALUR,0
SAMPAH,-,COMPLETE,2019-01-03,2019-01-03,TW000028216,KELURAHAN KEMANGGISAN,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,-,COMPLETE,2019-01-03,2019-01-03,JK2001030093,KELURAHAN KEBON JERUK,0
SAMPAH,SAMPAH SUNGAI,COMPLETE,2019-01-03,2019-01-03,QL001340541,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,QL001340539,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-03,QL001340538,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-03,QL001340537,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-03,QL001340536,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,QL001340535,KELURAHAN CENGKARENG BARAT,0
SAMPAH,-,COMPLETE,2019-01-03,2019-01-03,QL001340531,KELURAHAN PEGADUNGAN,0
JEMBATAN PENYEBERANGAN ORANG (JPO) DAN/ATAU HALTE,JPO/HALTE KOTOR,COMPLETE,2019-01-03,2019-01-03,QL001340525,KELURAHAN KEDOYA UTARA,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,QL001340520,KELURAHAN DURI KOSAMBI,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,JK2001030087,KELURAHAN TEGAL ALUR,0
JALAN,"KRIKIL JALAN""",COMPLETE,2019-01-04,2019-01-05,TW000028329,KELURAHAN KEBON JERUK,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-04,2019-01-04,QL001340806,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-04,2019-01-04,QL001340804,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-04,2019-01-04,QL001340803,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-04,2019-01-04,QL001340801,KELURAHAN CENGKARENG BARAT,0
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-04,2019-01-05,JK2001040063,KELURAHAN KALI DERES,1
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-04,2019-01-04,JK2001040062,KELURAHAN DURI KOSAMBI,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340799,KELURAHAN SLIPI,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340797,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340796,KELURAHAN TOMANG,0
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-04,2019-01-04,JK2001040055,KELURAHAN DURI KEPA,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340795,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340794,KELURAHAN TOMANG,0
BANJIR,"SAMPAH PASCA BNCANA BANJIR""",COMPLETE,2019-01-04,2019-01-06,EM000028326,KELURAHAN RAWA BUAYA,2
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-04,2019-01-04,JK2001040054,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340793,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340791,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340790,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340789,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340788,KELURAHAN TOMANG,0
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-04,2019-01-04,JK2001040052,KELURAHAN GROGOL,0
POHON,POHON TUMBANG,COMPLETE,2019-01-04,2019-01-04,JK2001040051,KELURAHAN TEGAL ALUR,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340785,KELURAHAN GROGOL,0
SAMPAH,SAMPAH SUNGAI,COMPLETE,2019-01-04,2019-01-04,QL001340784,KELURAHAN DURI KOSAMBI,0
SAMPAH,SAMPAH SUNGAI,COMPLETE,2019-01-04,2019-01-04,QL001340781,KELURAHAN DURI KOSAMBI,0
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-05,2019-01-05,JK2001040113,KELURAHAN KEMANGGISAN,0
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-05,2019-01-05,JK2001040114,KELURAHAN KEMANGGISAN,0
SAMPAH,SAMPAH TROTOAR,COMPLETE,2019-01-05,2019-01-05,QL001340957,KELURAHAN SLIPI,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-05,2019-01-05,JK2001050093,KELURAHAN KEBON JERUK,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-05,2019-01-05,QL4994951941139208447,KELURAHAN CENGKARENG BARAT,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-05,2019-01-05,QL001340958,KELURAHAN SLIPI,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-05,2019-01-05,QL001340954,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-05,2019-01-05,QL001340953,KELURAHAN CENGKARENG BARAT,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-05,2019-01-05,TW000028383,KELURAHAN SEMANAN,0
SAMPAH,-,COMPLETE,2019-01-05,2019-01-05,QL001340950,KELURAHAN PEGADUNGAN,0
SAMPAH,-,COMPLETE,2019-01-05,2019-01-06,JK2001050056,KELURAHAN SEMANAN,1
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-05,2019-01-05,LP000028378,WALIKOTA JAKARTA BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-05,2019-01-05,QL001340930,KELURAHAN KEDAUNG KALI ANGKE,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-05,2019-01-05,QL001340929,KELURAHAN KEDAUNG KALI ANGKE,0
SALURAN AIR,-,COMPLETE,2019-01-05,2019-01-06,QL001340926,KELURAHAN SEMANAN,1
SAMPAH,-,COMPLETE,2019-01-11,2019-01-11,QL001342347,KELURAHAN RAWA BUAYA,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-11,2019-01-11,QL001342385,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-11,2019-01-11,QL001342353,KELURAHAN KEBON JERUK,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-11,2019-01-11,QL001342354,KELURAHAN KEBON JERUK,0
SALURAN AIR,-,COMPLETE,2019-01-11,2019-01-11,QL001342402,KELURAHAN KAPUK,0
SALURAN AIR,-,COMPLETE,2019-01-11,2019-01-11,QL001342388,KELURAHAN KOTA BAMBU SELATAN,0
SAMPAH,SAMPAH TROTOAR,COMPLETE,2019-01-11,2019-01-11,QL001342397,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH TROTOAR,COMPLETE,2019-01-11,2019-01-11,QL001342398,KELURAHAN CENGKARENG BARAT,0
SAMPAH,-,COMPLETE,2019-01-11,2019-01-11,QL001342344,KELURAHAN RAWA BUAYA,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-11,2019-01-13,QL001342357,KELURAHAN CENGKARENG BARAT,2
SAMPAH,-,COMPLETE,2019-01-12,2019-01-12,QL001342719,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-12,2019-01-12,JK2001120042,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-12,2019-01-12,JK2001120041,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-12,2019-01-12,JK2001120040,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-12,2019-01-12,JK2001120039,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-12,2019-01-12,JK2001120038,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-12,2019-01-12,QL001342741,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-12,2019-01-12,QL001342740,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-12,2019-01-12,QL001342738,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-12,2019-01-12,QL001342737,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-12,2019-01-12,QL001342736,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-12,2019-01-12,QL001342735,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-12,2019-01-12,QL001342734,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-13,2019-01-13,QL001342963,KELURAHAN KAPUK,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,PELANGGARAN AREA PUBLIK,COMPLETE,2019-01-13,2019-01-13,QL001342958,KELURAHAN PINANGSIA,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,-,COMPLETE,2019-01-13,2019-01-13,QL001342953,KELURAHAN ROA MALAKA,0
PELANGGARAN PERDA/PERGUB,SPANDUK/IKLAN LIAR,COMPLETE,2019-01-13,2019-01-13,QL001342954,KELURAHAN ROA MALAKA,0
SAMPAH,SAMPAH LINGKUNGAN BESAR,COMPLETE,2019-01-13,2019-01-13,QL4997825451050144254,KELURAHAN MERUYA UTARA,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,-,COMPLETE,2019-01-13,2019-01-13,QL001342936,KELURAHAN TANAH SEREAL,0
SAMPAH,SAMPAH RUANG PUBLIK,COMPLETE,2019-01-13,2019-01-13,QL001342932,KELURAHAN TANAH SEREAL,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,-,COMPLETE,2019-01-13,2019-01-13,QL001342928,KELURAHAN TANAH SEREAL,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-13,2019-01-13,EM000029070,KELURAHAN KAPUK,0
SAMPAH,-,COMPLETE,2019-01-13,2019-01-13,QL001342911,KELURAHAN KRUKUT,0
SAMPAH,-,COMPLETE,2019-01-13,2019-01-13,QL001342906,KELURAHAN KRUKUT,0
PELANGGARAN PERDA/PERGUB,SPANDUK/IKLAN LIAR,COMPLETE,2019-01-13,2019-01-13,QL001342894,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-13,2019-01-13,JK2001130017,KELURAHAN PAL MERAH,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-13,2019-01-13,JK2001130016,KELURAHAN PAL MERAH,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-13,2019-01-13,TW000028965,KELURAHAN RAWA BUAYA,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-14,2019-01-14,QL001343474,KELURAHAN PEGADUNGAN,0
SAMPAH,RUMPUT LIAR KECIL,COMPLETE,2019-01-14,2019-01-15,QL001343472,KELURAHAN CENGKARENG BARAT,1
SAMPAH,SAMPAH TROTOAR,COMPLETE,2019-01-14,2019-01-14,QL001343466,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH TROTOAR,COMPLETE,2019-01-14,2019-01-14,QL001343463,KELURAHAN CENGKARENG BARAT,0
SAMPAH,-,COMPLETE,2019-01-05,2019-01-06,QL001340925,KELURAHAN SEMANAN,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-05,2019-01-05,QL001340705,KELURAHAN CENGKARENG TIMUR,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-05,2019-01-05,QL001340714,KELURAHAN KALI DERES,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-05,2019-01-05,QL001340711,KELURAHAN KALI DERES,0
PERIZINAN LINGKUNGAN HIDUP,-,COMPLETE,2019-01-06,2019-01-07,JK2001060050,KELURAHAN SEMANAN,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-06,2019-01-06,QL001341201,KELURAHAN KAPUK,0
SALURAN AIR,-,COMPLETE,2019-01-06,2019-01-06,QL001341189,KELURAHAN TANJUNG DUREN UTARA,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-06,2019-01-06,QL001341172,KELURAHAN KELAPA DUA,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-06,2019-01-06,QL001341177,KELURAHAN JELAMBAR BARU,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-06,2019-01-07,QL001341176,KELURAHAN JELAMBAR BARU,1
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-06,2019-01-06,QL001341173,KELURAHAN JELAMBAR BARU,0
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-06,2019-01-06,JK2001060026,KELURAHAN SLIPI,0
SALURAN AIR,-,COMPLETE,2019-01-07,2019-01-07,QL001341244,KELURAHAN KEDAUNG KALI ANGKE,0
SAMPAH,RUMPUT LIAR BESAR,COMPLETE,2019-01-07,2019-01-10,JK2001070058,KELURAHAN TEGAL ALUR,3
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-07,2019-01-08,QL001341433,KELURAHAN KAMAL,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-07,2019-01-07,JK2001070056,KELURAHAN TEGAL ALUR,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-07,2019-01-07,QL001341420,KELURAHAN CENGKARENG BARAT,0
TATA RUANG DAN BANGUNAN,"LAIN LAIN """,COMPLETE,2019-01-07,2019-01-07,TW000028615,KELURAHAN JEMBATAN BESI,0
SALURAN AIR,-,COMPLETE,2019-01-07,2019-01-07,QL001341407,KELURAHAN DURI KEPA,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-07,2019-01-07,JK2001070041,KELURAHAN PAL MERAH,0
POSYANDU,KELUHAN POSYANDU,COMPLETE,2019-01-08,2019-01-08,JK2001080041,KELURAHAN SEMANAN,0
POSYANDU,-,COMPLETE,2019-01-08,2019-01-08,JK2001080040,KELURAHAN SEMANAN,0
POSYANDU,-,COMPLETE,2019-01-08,2019-01-08,JK2001080037,KELURAHAN SEMANAN,0
POSYANDU,-,COMPLETE,2019-01-08,2019-01-08,JK2001080036,KELURAHAN SEMANAN,0
POSYANDU,-,COMPLETE,2019-01-08,2019-01-08,JK2001080028,KELURAHAN SEMANAN,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-08,2019-01-09,QL001341615,KELURAHAN WIJAYA KUSUMA,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-08,2019-01-08,JK2001080026,KELURAHAN PAL MERAH,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-09,2019-01-09,QL001341958,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-09,2019-01-09,QL001341957,KELURAHAN CENGKARENG BARAT,0
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-09,2019-01-09,TW000028823,WALIKOTA JAKARTA BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-09,2019-01-10,QL001341910,KELURAHAN CENGKARENG TIMUR,1
LEMBAGA KEMASYARAKATAN,"PROSEDUR PELAYANAN MASYAKARAT""",COMPLETE,2019-01-09,2019-01-09,TW000028818,KELURAHAN CENGKARENG BARAT,0
SAMPAH,-,COMPLETE,2019-01-09,2019-01-09,QL001341908,KELURAHAN TOMANG,0
PENATAAN PERMUKIMAN (KAMPUNG DERET,-,COMPLETE,2019-01-09,2019-01-09,JK2001090047,KELURAHAN JATI PULO,0
SAMPAH,-,COMPLETE,2019-01-10,2019-01-10,QL001342182,KELURAHAN DURI KEPA,0
SAMPAH,SAMPAH TROTOAR,COMPLETE,2019-01-10,2019-01-10,QL001342172,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH RUANG PUBLIK,COMPLETE,2019-01-10,2019-01-10,QL001342125,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-10,2019-01-10,QL001342124,KELURAHAN CENGKARENG BARAT,0
SAMPAH,"LUMPUR PASCA BANJIR""",COMPLETE,2019-01-10,2019-01-10,EM000028447,KELURAHAN JELAMBAR BARU,0
SAMPAH,SAMPAH RUANG PUBLIK,COMPLETE,2019-01-10,2019-01-10,QL001342122,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-10,2019-01-10,QL001342121,KELURAHAN CENGKARENG BARAT,0
JARINGAN LISTRIK,"TIANG RUBUH""",COMPLETE,2019-01-10,2019-01-10,EM000028878,WALIKOTA JAKARTA BARAT,0
PELAYANAN PERHUBUNGAN,-,COMPLETE,2019-01-01,2019-01-01,JK2001010317,KELURAHAN TOMANG,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,-,COMPLETE,2019-01-01,2019-01-01,JK2001010351,KELURAHAN JEMBATAN LIMA,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-05,JK2001010339,KELURAHAN KEDAUNG KALI ANGKE,4
SAMPAH,SAMPAH RUANG PUBLIK,COMPLETE,2019-01-01,2019-01-01,QL001340087,KELURAHAN MANGGA BESAR,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001340080,KELURAHAN JELAMBAR BARU,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-09,JK2001010329,KELURAHAN WIJAYA KUSUMA,8
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-02,JK2001010328,KELURAHAN MERUYA SELATAN,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-01,2019-01-02,QL001340027,KELURAHAN WIJAYA KUSUMA,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,JK2001010262,KELURAHAN JATI PULO,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-02,QL001340007,KELURAHAN KALI DERES,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,JK2001010259,KELURAHAN KAPUK,0
ADMINISTRASI TERKAIT PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,-,COMPLETE,2019-01-01,2019-01-01,JK2001010242,KELURAHAN KEBON JERUK,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339990,KELURAHAN KAPUK,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-02,JK2001010226,KELURAHAN KALI DERES,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-02,JK2001010216,KELURAHAN KALI DERES,1
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,-,COMPLETE,2019-01-01,2019-01-02,JK2001010214,KELURAHAN KALI DERES,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,JK2001010209,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-02,JK2001010195,KELURAHAN MERUYA SELATAN,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-02,JK2001010193,KELURAHAN MERUYA SELATAN,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-10,JK2001010191,KELURAHAN SUKABUMI SELATAN,9
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339959,KELURAHAN JOGLO,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-04,JK2001010184,KELURAHAN SEMANAN,3
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,JK2001010161,KELURAHAN KEAGUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339941,KELURAHAN KAPUK,0
ADMINISTRASI TERKAIT PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,-,COMPLETE,2019-01-01,2019-01-01,JK2001010155,KELURAHAN KAPUK,0
ADMINISTRASI TERKAIT PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,-,COMPLETE,2019-01-01,2019-01-01,JK2001010148,KELURAHAN KAPUK,0
ADMINISTRASI TERKAIT PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,-,COMPLETE,2019-01-01,2019-01-01,JK2001010147,KELURAHAN KAPUK,0
SALURAN AIR,-,COMPLETE,2019-01-01,2019-01-02,QL001339920,KELURAHAN KEMANGGISAN,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339884,KELURAHAN TEGAL ALUR,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,JK2001010083,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339882,KELURAHAN TEGAL ALUR,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339876,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339875,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339873,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339870,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339869,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-04,JK2001010068,KELURAHAN SEMANAN,3
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-04,JK2001010066,KELURAHAN SEMANAN,3
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-01,QL001339854,KELURAHAN KAPUK,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-02,JK2001010061,KELURAHAN MERUYA SELATAN,1
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-04,QL001339843,KELURAHAN SEMANAN,3
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-04,JK2001010044,KELURAHAN WIJAYA KUSUMA,3
